City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Souillac,MU,2022-04-17 04:21:58,-20.5167,57.5167,77.38,100,75,17.27
101,Dikson,RU,2022-04-17 04:21:59,73.5069,80.5464,8.13,90,100,15.1
102,Puerto Escondido,MX,2022-04-17 04:21:59,15.85,-97.0667,83.23,74,0,4.61
103,Pevek,RU,2022-04-17 04:21:59,69.7008,170.3133,7.09,89,100,6.04
104,Irbil,IQ,2022-04-17 04:21:59,36.1926,44.0106,61.07,39,0,3.69
105,Winsum,NL,2022-04-17 04:22:00,53.33,6.5208,42.98,80,23,8.48
106,Bandarbeyla,SO,2022-04-17 04:22:00,9.4942,50.8122,82.4,73,30,9.57
107,Tranas,SE,2022-04-17 04:22:01,58.0372,14.9782,35.38,84,100,4.83
108,Bardiyah,LY,2022-04-17 04:22:01,31.7561,25.0865,77.31,23,95,25.88
109,Provideniya,RU,2022-04-17 04:22:01,64.3833,-173.3,32.59,96,100,12.01
110,Katsuura,JP,2022-04-17 04:22:02,35.1333,140.3,59.07,60,100,9.82
111,Talnakh,RU,2022-04-17 04:22:02,69.4865,88.3972,14.61,93,98,16.64
112,Narsaq,GL,2022-04-17 04:22:03,60.9167,-46.05,32.22,84,8,2.21
113,Tilichiki,RU,2022-04-17 04:22:03,60.4667,166.1,30.58,89,56,5.17
114,Mahanoro,MG,2022-04-17 04:22:04,-19.9,48.8,73.11,90,20,5.23
115,Bolama,GW,2022-04-17 04:22:04,11.5833,-15.4667,74.68,60,10,8.72
116,Karratha,AU,2022-04-17 04:22:05,-20.7377,116.8463,96.26,25,11,10.27
117,Hami,CN,2022-04-17 04:22:05,42.8,93.45,62.2,15,0,8.81
118,Panjab,AF,2022-04-17 04:22:05,34.388,67.0233,57.34,26,3,6.11
119,Zyryanskoye,RU,2022-04-17 04:21:15,56.8306,86.6258,52.63,66,98,12.91
120,Okha,RU,2022-04-17 04:22:06,53.5739,142.9478,31.84,74,100,10.47
121,Saint-Philippe,RE,2022-04-17 04:22:06,-21.3585,55.7679,78.39,81,28,10.29
122,Chokurdakh,RU,2022-04-17 04:22:07,70.6333,147.9167,9.34,86,23,3.56
123,Khatanga,RU,2022-04-17 04:22:07,71.9667,102.5,24.26,93,93,10.0
124,Longyearbyen,SJ,2022-04-17 04:22:07,78.2186,15.6401,21.04,68,75,8.05
125,Jumla,NP,2022-04-17 04:22:08,29.2747,82.1838,64.63,23,0,2.33
126,Loandjili,CG,2022-04-17 04:22:08,-4.7561,11.8578,77.11,94,20,3.44
127,Samarai,PG,2022-04-17 04:22:09,-10.6167,150.6667,84.07,71,98,8.77
128,Ureki,GE,2022-04-17 04:22:09,41.9956,41.7786,55.36,72,9,4.41
129,Camacha,PT,2022-04-17 04:22:09,33.0833,-16.3333,60.22,82,20,16.11
130,Nalut,LY,2022-04-17 04:22:10,30.3333,10.85,52.56,65,4,8.57
131,Tiksi,RU,2022-04-17 04:22:10,71.6872,128.8694,7.63,90,26,6.55
132,Fort-De-France,MQ,2022-04-17 04:22:11,14.6089,-61.0733,78.75,73,20,13.8
133,Half Moon Bay,US,2022-04-17 04:22:11,37.4636,-122.4286,52.25,79,40,12.66
134,Tuktoyaktuk,CA,2022-04-17 04:22:11,69.4541,-133.0374,-0.4,71,40,6.91
135,Japura,ID,2022-04-17 04:22:12,-0.3167,102.35,85.87,75,97,1.01
136,Raga,SS,2022-04-17 04:22:12,8.4596,25.678,78.26,65,90,3.36
137,Bardsir,IR,2022-04-17 04:22:13,29.9227,56.5743,64.8,24,7,11.92
138,Cabo San Lucas,MX,2022-04-17 04:19:33,22.8909,-109.9124,76.6,55,100,10.36
139,Hilo,US,2022-04-17 04:22:13,19.7297,-155.09,72.28,95,100,4.61
140,Deer Lake,CA,2022-04-17 04:22:14,49.1667,-57.4316,44.46,81,100,13.8
141,Carnarvon,AU,2022-04-17 04:22:14,-24.8667,113.6333,78.87,61,100,16.11
142,Christchurch,NZ,2022-04-17 04:18:41,-43.5333,172.6333,57.94,74,100,17.27
143,Mbigou,GA,2022-04-17 04:22:15,-1.9005,11.906,67.41,99,91,1.41
144,Metro,ID,2022-04-17 04:19:55,-5.1131,105.3067,88.5,61,64,5.19
145,Predivinsk,RU,2022-04-17 04:22:15,57.0669,93.4378,59.76,60,97,10.8
146,Cherskiy,RU,2022-04-17 04:22:15,68.75,161.3,20.66,85,100,13.44
147,Sesheke,ZM,2022-04-17 04:22:16,-17.4759,24.2968,65.73,97,97,6.15
148,Port Alfred,ZA,2022-04-17 04:22:16,-33.5906,26.891,57.18,94,92,10.38
149,Mareeba,AU,2022-04-17 04:22:17,-17.0,145.4333,81.45,74,100,7.7
150,Yar-Sale,RU,2022-04-17 04:22:17,66.8333,70.8333,11.14,83,97,13.6
151,Shache,CN,2022-04-17 04:22:17,38.4167,77.2406,58.71,17,0,8.52
152,Norman Wells,CA,2022-04-17 04:22:18,65.282,-126.8329,15.84,38,20,3.44
153,Nouadhibou,MR,2022-04-17 04:22:18,20.931,-17.0347,62.58,88,75,10.36
154,Bathsheba,BB,2022-04-17 04:22:19,13.2167,-59.5167,79.41,78,40,21.85
155,Kavaratti,IN,2022-04-17 04:22:19,10.5669,72.642,84.2,73,45,6.8
156,Saint-Pierre,RE,2022-04-17 04:19:04,-21.3393,55.4781,78.48,72,0,2.3
157,Ilulissat,GL,2022-04-17 04:22:20,69.2167,-51.1,-9.74,90,7,5.66
158,Mazatlan,MX,2022-04-17 04:20:05,23.2167,-106.4167,74.91,72,100,3.0
159,Santa Barbara,US,2022-04-17 04:22:20,34.7333,-120.0343,55.35,89,100,5.75
160,Constitucion,CL,2022-04-17 04:22:20,-35.3333,-72.4167,53.64,76,0,4.36
161,Severo-Kurilsk,RU,2022-04-17 04:20:12,50.6789,156.125,32.83,81,100,13.06
162,Kizhinga,RU,2022-04-17 04:22:21,51.8462,109.9097,51.22,40,99,11.05
163,Makkaveyevo,RU,2022-04-17 04:22:21,51.7533,113.9454,50.45,29,73,7.11
164,Beya,RU,2022-04-17 04:22:21,53.0533,90.9139,62.35,36,13,5.35
165,Chapais,CA,2022-04-17 04:22:22,49.7834,-74.8492,28.18,95,96,9.48
166,Taltal,CL,2022-04-17 04:22:22,-25.4,-70.4833,61.11,77,0,3.13
167,Caravelas,BR,2022-04-17 04:22:22,-17.7125,-39.2481,77.0,73,100,10.4
168,Zaraza,VE,2022-04-17 04:22:23,9.3503,-65.3245,79.66,71,34,4.5
169,Nuuk,GL,2022-04-17 04:22:23,64.1835,-51.7216,23.61,80,42,8.05
170,Faya,SA,2022-04-17 04:22:23,18.3851,42.4509,64.51,38,0,2.93
171,Esperance,AU,2022-04-17 04:22:24,-33.8667,121.9,62.11,64,97,14.09
172,Koson,UZ,2022-04-17 04:22:24,39.0375,65.585,70.12,31,67,9.26
173,Batagay-Alyta,RU,2022-04-17 04:22:24,67.8006,130.4114,16.61,82,85,5.66
174,Flinders,AU,2022-04-17 04:22:25,-34.5833,150.8552,78.19,62,1,5.99
175,Pasni,PK,2022-04-17 04:22:25,25.2631,63.471,81.86,77,5,4.85
176,Delano,US,2022-04-17 04:22:25,35.7688,-119.247,64.98,51,0,0.0
177,Tautira,PF,2022-04-17 04:22:26,-17.7333,-149.15,79.72,76,3,9.75
178,Mehamn,NO,2022-04-17 04:22:26,71.0357,27.8492,37.33,90,100,26.96
179,Ponnani,IN,2022-04-17 04:22:26,10.767,75.9252,85.32,71,54,0.78
180,Kondopoga,RU,2022-04-17 04:22:27,62.2057,34.2614,29.88,78,88,4.7
181,Padang,ID,2022-04-17 04:22:27,-0.9492,100.3543,89.65,64,26,5.95
182,Shu,KZ,2022-04-17 04:22:27,43.5983,73.7614,71.13,36,84,3.22
183,Richards Bay,ZA,2022-04-17 04:22:28,-28.783,32.0377,63.73,88,100,4.88
184,Banmankhi,IN,2022-04-17 04:22:28,25.8833,87.1833,92.48,44,12,9.4
185,Port Lincoln,AU,2022-04-17 04:22:28,-34.7333,135.8667,67.08,71,100,10.36
186,Florenville,BE,2022-04-17 04:22:29,49.6998,5.3074,41.52,64,2,9.93
187,Shalakusha,RU,2022-04-17 04:22:29,62.2247,40.2539,30.76,90,100,6.29
188,San Patricio,US,2022-04-17 04:22:30,28.017,-97.5169,75.83,89,90,8.86
189,Calatrava,PH,2022-04-17 04:22:30,10.595,123.4838,84.65,69,95,8.61
190,Wattegama,LK,2022-04-17 04:22:30,6.7989,81.4808,86.18,66,57,6.93
191,Khuzdar,PK,2022-04-17 04:22:31,27.7384,66.6434,82.78,16,36,4.03
192,Kalevala,RU,2022-04-17 04:22:31,65.2,31.1667,33.08,85,100,8.79
193,Gawler,AU,2022-04-17 04:22:32,-34.6,138.7333,71.47,76,100,7.9
194,Thompson,CA,2022-04-17 04:21:32,55.7435,-97.8558,19.56,53,100,3.44
195,Taoudenni,ML,2022-04-17 04:22:32,22.6783,-3.9836,71.4,30,0,10.78
196,Ahipara,NZ,2022-04-17 04:22:32,-35.1667,173.1667,61.23,85,100,15.26
197,Nome,US,2022-04-17 04:22:33,64.5011,-165.4064,34.16,69,100,17.27
198,Pisco,PE,2022-04-17 04:22:33,-13.7,-76.2167,64.02,82,0,4.61
199,Kochevo,RU,2022-04-17 04:22:34,59.5994,54.3125,26.76,85,71,3.13
200,Baturaja,ID,2022-04-17 04:22:34,-4.1333,104.1667,88.9,59,45,3.56
201,Bandeirantes,BR,2022-04-17 04:22:34,-23.11,-50.3675,56.16,90,0,5.64
202,Conway,US,2022-04-17 04:18:00,35.0887,-92.4421,61.79,63,100,10.36
203,West Carrollton City,US,2022-04-17 04:22:35,39.6723,-84.2522,44.37,61,0,9.22
204,Lagoa,PT,2022-04-17 04:22:35,39.05,-27.9833,57.81,74,0,14.92
205,Wajima,JP,2022-04-17 04:22:36,37.4,136.9,61.48,36,20,8.05
206,Dingle,PH,2022-04-17 04:22:36,10.9995,122.6711,86.83,64,100,9.22
207,Dhali,IN,2022-04-17 04:22:36,10.5,77.1667,84.4,65,79,5.08
208,Meulaboh,ID,2022-04-17 04:22:37,4.1363,96.1285,86.05,67,37,2.42
209,Erzin,TR,2022-04-17 04:22:37,36.9559,36.2,60.48,52,22,3.65
210,Klaksvik,FO,2022-04-17 04:22:37,62.2266,-6.589,47.32,98,100,19.75
211,Alekseyevsk,RU,2022-04-17 04:22:38,57.8406,108.3492,43.95,90,100,13.2
212,Bubaque,GW,2022-04-17 04:22:38,11.2833,-15.8333,75.24,69,11,17.63
213,Comodoro Rivadavia,AR,2022-04-17 04:22:38,-45.8667,-67.5,48.06,66,0,6.91
214,Saravan,AM,2022-04-17 04:22:39,39.7196,45.6483,39.29,67,6,2.68
215,Joshimath,IN,2022-04-17 04:22:39,30.5667,79.5667,70.21,29,1,3.31
216,Basco,PH,2022-04-17 04:22:40,20.4487,121.9702,76.84,76,67,16.22
217,Oistins,BB,2022-04-17 04:21:05,13.0667,-59.5333,78.89,78,40,21.85
