City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Palencia,ES,42.4167,-4.5,49.8,69,0,6.13,clear sky
159,Aksu,CN,41.1231,80.2644,57.27,13,87,8.37,overcast clouds
160,Lakes Entrance,AU,-37.8811,147.981,73.71,49,33,3.42,scattered clouds
161,Airai,TL,-8.9266,125.4092,74.34,59,29,1.7,scattered clouds
162,Brooks,CA,50.5834,-111.8851,37.38,35,100,9.22,overcast clouds
163,Chara,RU,56.9064,118.2631,19.49,66,97,3.33,overcast clouds
164,Hay River,CA,60.8156,-115.7999,10.38,61,40,11.5,scattered clouds
165,Constitucion,CL,-35.3333,-72.4167,54.32,75,0,3.02,clear sky
166,Talnakh,RU,69.4865,88.3972,13.89,94,100,15.75,overcast clouds
167,Bilibino,RU,68.0546,166.4372,22.53,81,98,2.01,overcast clouds
168,Saldanha,ZA,-33.0117,17.9442,57.25,69,0,9.95,clear sky
169,Bukama,CD,-9.2,25.85,70.0,98,100,1.88,light rain
170,Flin Flon,CA,54.7682,-101.865,21.74,88,100,3.15,overcast clouds
171,Burns Lake,CA,54.2331,-125.7533,42.22,60,99,1.43,overcast clouds
172,Port-Gentil,GA,-0.7193,8.7815,80.82,80,100,6.35,overcast clouds
173,Broken Hill,AU,-31.95,141.4333,82.11,23,3,17.27,clear sky
174,Paamiut,GL,61.994,-49.6678,22.24,88,8,7.0,clear sky
175,Juba,SS,4.8517,31.5825,71.69,81,98,2.66,overcast clouds
176,Fort Nelson,CA,58.8053,-122.7002,20.79,68,100,11.5,light snow
177,Wittenheim,FR,47.8078,7.337,45.54,77,0,8.34,clear sky
178,Buenaventura,CO,3.8801,-77.0312,74.77,96,100,0.54,overcast clouds
179,Pedernales,DO,18.0384,-71.744,78.49,71,95,7.11,overcast clouds
180,Maniitsoq,GL,65.4167,-52.9,19.85,66,2,3.96,clear sky
181,Kaohsiung,TW,22.6163,120.3133,75.15,70,75,6.91,broken clouds
182,Alofi,NU,-19.0595,-169.9187,84.09,74,63,6.91,broken clouds
183,Biltine,TD,14.5333,20.9167,84.61,29,36,7.2,scattered clouds
184,High Prairie,CA,55.4334,-116.4858,30.67,65,100,6.33,overcast clouds
185,Micomeseng,GQ,2.1462,10.6164,69.24,99,43,0.45,scattered clouds
186,Mount Gambier,AU,-37.8333,140.7667,75.11,33,75,17.27,broken clouds
187,Ha Tinh,VN,18.3333,105.9,75.79,90,100,8.63,overcast clouds
188,Ibipeba,BR,-11.6408,-42.0111,69.01,96,100,5.26,overcast clouds
189,Hithadhoo,MV,-0.6,73.0833,83.41,63,97,6.62,overcast clouds
190,Soyo,AO,-6.1349,12.3689,77.27,91,84,7.02,broken clouds
191,Cayenne,GF,4.9333,-52.3333,81.09,1,20,5.99,few clouds
192,Tawang,IN,27.5833,91.8667,50.79,68,36,4.74,scattered clouds
193,Cabedelo,BR,-6.9811,-34.8339,81.27,85,80,7.87,light rain
194,Morden,CA,49.1919,-98.1014,20.82,63,7,3.44,clear sky
195,Milkovo,RU,54.7167,158.6167,32.63,45,100,5.88,overcast clouds
196,Rio Grande,BR,-32.035,-52.0986,58.95,74,85,8.93,overcast clouds
197,Guarapari,BR,-20.6667,-40.4975,73.89,80,47,9.57,scattered clouds
198,Bandipur,NP,27.9333,84.4167,75.2,16,0,2.51,clear sky
199,Sarankhola,BD,22.3082,89.7897,87.17,65,37,12.86,scattered clouds
200,Borovichi,RU,58.3878,33.9155,25.57,96,18,4.21,few clouds
201,Moerai,PF,-22.4333,-151.3333,80.22,68,5,3.15,clear sky
202,Hilo,US,19.7297,-155.09,73.27,93,100,6.91,moderate rain
203,Xam Nua,LA,20.4197,104.0439,73.04,81,80,3.38,broken clouds
204,Kavaratti,IN,10.5669,72.642,83.86,72,31,5.82,scattered clouds
205,Takoradi,GH,4.8845,-1.7554,75.74,88,100,6.49,light rain
206,Ler,SS,8.3018,30.1418,76.69,70,35,3.96,scattered clouds
207,Hualmay,PE,-11.0964,-77.6139,66.58,84,99,8.79,overcast clouds
208,Daphne,US,30.6035,-87.9036,67.86,77,100,11.5,light rain
209,Fare,PF,-16.7,-151.0167,81.91,70,3,12.17,clear sky
210,Dudinka,RU,69.4058,86.1778,12.33,95,100,13.4,overcast clouds
211,Komsomolskiy,UZ,40.4272,71.7189,61.52,44,81,4.61,broken clouds
212,Noumea,NC,-22.2763,166.4572,84.18,99,0,12.28,clear sky
213,Lompoc,US,34.6391,-120.4579,63.01,77,0,12.66,clear sky
214,Iqaluit,CA,63.7506,-68.5145,10.13,84,75,4.61,light snow
215,Acopiara,BR,-6.0953,-39.4525,73.87,86,67,4.5,broken clouds
216,Ambulu,ID,-8.345,113.6058,84.13,71,91,0.36,overcast clouds
217,Vadso,NO,70.0744,29.7487,39.36,75,100,14.97,overcast clouds
218,Byron Bay,AU,-28.65,153.6167,71.49,78,100,7.56,light rain
219,Bereda,ES,43.2686,-7.5406,50.14,100,47,1.61,scattered clouds
220,Monteagudo,BO,-19.8167,-63.9833,59.52,59,100,1.41,overcast clouds
221,Nanortalik,GL,60.1432,-45.2371,29.05,84,93,8.21,overcast clouds
222,Tasiilaq,GL,65.6145,-37.6368,33.96,97,100,7.65,snow
223,Tuatapere,NZ,-46.1333,167.6833,57.31,52,86,2.59,overcast clouds
224,Steinbach,DE,50.1667,8.5667,45.18,64,0,8.05,clear sky
225,Yar-Sale,RU,66.8333,70.8333,11.66,84,100,14.88,overcast clouds
226,Sistranda,NO,63.7256,8.834,39.16,81,100,3.78,overcast clouds
227,Lorengau,PG,-2.0226,147.2712,84.2,74,55,5.75,broken clouds
228,Bure,ET,10.7,37.0667,60.48,82,100,1.63,light rain
229,Kaniama,CD,-7.5667,24.1833,66.13,94,100,2.73,overcast clouds
230,Leningradskiy,RU,69.3833,178.4167,14.5,88,97,8.72,overcast clouds
231,Klenovyy,UA,48.1193,39.4588,45.27,80,100,5.44,overcast clouds
232,Nuuk,GL,64.1835,-51.7216,10.72,89,20,5.59,few clouds
233,Ostersund,SE,63.1792,14.6357,37.85,75,75,8.05,broken clouds
234,Roald,NO,62.5833,6.1333,44.76,93,20,6.91,few clouds
235,Alasehir,TR,38.3508,28.5172,62.58,46,100,5.21,overcast clouds
236,Frutigen,CH,46.5878,7.6475,46.13,79,3,3.44,clear sky
237,Clyde River,CA,70.4692,-68.5914,-9.17,84,100,4.61,overcast clouds
238,Hamilton,US,39.1834,-84.5333,52.43,53,15,3.0,few clouds
239,Port Blair,IN,11.6667,92.75,84.24,79,20,2.3,few clouds
240,Iracoubo,GF,5.4802,-53.2011,77.74,87,100,10.02,overcast clouds
241,Nishihara,JP,26.1842,127.7558,69.08,60,75,11.5,broken clouds
242,Svelgen,NO,61.7685,5.2955,44.19,79,100,7.54,overcast clouds
243,Taltal,CL,-25.4,-70.4833,62.06,74,0,3.96,clear sky
244,Ust-Kuyga,RU,70.0167,135.6,13.28,84,99,6.62,overcast clouds
245,Laguna,US,38.421,-121.4238,67.91,54,0,13.8,clear sky
246,Katangi,IN,23.45,79.7833,78.06,16,0,8.19,clear sky
247,Klyuchi,RU,52.2667,79.1667,52.72,34,100,6.58,overcast clouds
248,Bonfim,BR,3.0833,-59.95,80.1,67,94,9.24,overcast clouds
249,Ancud,CL,-41.8697,-73.8203,50.32,88,0,4.83,clear sky
250,Odweyne,SO,9.4092,45.064,75.69,58,30,1.59,scattered clouds
251,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,71,0,4.61,clear sky
252,Bethel,US,41.3712,-73.414,46.94,88,100,8.05,moderate rain
253,Russell,US,32.3502,-85.1999,66.11,93,0,4.61,clear sky
254,Salinas,US,36.6777,-121.6555,62.01,69,0,10.36,clear sky
255,Saint Anthony,US,45.0205,-93.218,37.29,42,0,12.66,clear sky
256,Teeli,RU,51.0333,90.2333,49.42,26,6,1.7,clear sky
257,Rincon,US,32.296,-81.2354,71.85,93,100,1.36,overcast clouds
258,Calhoun,US,42.2506,-85.0005,34.11,47,100,6.91,overcast clouds
259,Lazaro Cardenas,MX,17.9583,-102.2,74.57,76,7,4.65,clear sky
